Left_Thalamic_Radiation,Right_Thalamic_Radiation,Left_Corticospinal,Right_Corticospinal,Left_Cingulum_Cingulate,Right_Cingulum_Cingulate,Left_Cingulum_Hippocampus,Right_Cingulum_Hippocampus,Callosum_Forceps_Major,Callosum_Forceps_Minor,Left_IFOF,Right_IFOF,Left_ILF,Right_ILF,Left_SLF,Right_SLF,Left_Uncinate,Right_Uncinate,Left_Arcuate,Right_Arcuate
NaN,0.174975641837059,0.192842639123504,0.217221996249609,0.18266648899834,0.180961233199228,0.186739151013199,0.165426755975976,0.208371641429805,NaN,0.2855141908609,0.21511047653045,0.167857153266344,0.258895342587006,0.180786590519022,0.179867240988536,0.175050224628559,0.18369674221809,0.187177264432836,0.165284424603972
0.24403200344356,0.222203315196763,0.258143778505924,0.275852857487083,0.225352877668239,0.235333395704518,0.204886069866742,0.217328738283268,0.260633403078313,0.230397237635617,0.322442555264479,0.277580043015935,0.24162817653184,0.296164004847396,0.207639367434093,0.210975511607105,0.21195307019343,0.223882246591085,0.259857852351717,0.261025975060823
0.290512450059792,0.267319235329787,0.328323636094581,0.34844378063538,0.255092311574293,0.272218712432721,0.224959029731603,0.272708053715091,0.299975789661684,0.272214651280147,0.348780896549775,0.322464692039853,0.288448888519223,0.341087901915903,0.236174188887787,0.24224515350524,0.24703422712858,0.268714009738493,0.335520685795949,0.312754038878468
0.322391601265733,0.31442594895087,0.376436363908717,0.405974497236548,0.277354000356367,0.285507557743267,0.242557943540482,0.311813222339097,0.328059889724672,0.302792613524129,0.368204478038511,0.362181775684662,0.316619711307214,0.38122174608102,0.261709414628598,0.269898324305042,0.277218796693642,0.298880858920852,0.386192440537725,0.350803165169595
0.357470180707865,0.361277141173393,0.414104324534638,0.45584850785483,0.307151355900546,0.30911729995411,0.262167646558658,0.336067585346577,0.345539851653361,0.335020568341074,0.393536627954491,0.374955174227305,0.321763653267035,0.407702694873084,0.283227403521877,0.289838946759949,0.295271315830957,0.328284100433619,0.417988067939582,0.371573591430873
0.392900344707197,0.398657428959597,0.447346768324406,0.500199330998576,0.337068929872307,0.335774208835091,0.284936874061776,0.34747610979137,0.354981449063858,0.371368523343895,0.41490749967251,0.374038665508317,0.304283368956552,0.421968588011989,0.30169330655103,0.303163470297083,0.30487645566016,0.360073193755433,0.467288488598239,0.412487474131952
0.425409066209989,0.421583458822684,0.476967596390911,0.531963690779097,0.364439995395807,0.363294179076601,0.306099134604464,0.345256369721062,0.353408495378216,0.399907565883025,0.437087760468213,0.369629091800839,0.315275589890664,0.417323304898557,0.316099550704855,0.318589769229461,0.312816767979024,0.379720357780674,0.521105430188639,0.45552854999993
0.446573948414507,0.433058569379489,0.498290341868877,0.563040610967048,0.38938194691782,0.392574598163645,0.32136776552369,0.334466486536747,0.355241565408148,0.415646684694357,0.460407517955238,0.364111148930921,0.372757986363077,0.406445959841899,0.324163298057562,0.33687034611675,0.326828441963064,0.405789436556102,0.524833544998209,0.498094708637921
0.459314403510429,0.437490788821814,0.521728003271954,0.587171313754743,0.40894710921886,0.426426044880525,0.336099976598412,0.325326008758677,0.373023998426918,0.42839810513381,0.482754300532934,0.361350882407936,0.438715182372555,0.395282756886016,0.328954515080923,0.351039408464476,0.345978027641697,0.431475680896479,0.490545072580639,0.516334199123482
0.465689663469481,0.43661721953113,0.558988507347647,0.598887416814636,0.422510764999392,0.453455551390301,0.354341971253529,0.327194672803327,0.403594624310298,0.439016930051542,0.495512178822672,0.371266396216418,0.487437228960169,0.391866820157334,0.332303019559661,0.361066556859373,0.358956158938275,0.455839810526399,0.433527255639195,0.512913427418919
