Left_Thalamic_Radiation,Right_Thalamic_Radiation,Left_Corticospinal,Right_Corticospinal,Left_Cingulum_Cingulate,Right_Cingulum_Cingulate,Left_Cingulum_Hippocampus,Right_Cingulum_Hippocampus,Callosum_Forceps_Major,Callosum_Forceps_Minor,Left_IFOF,Right_IFOF,Left_ILF,Right_ILF,Left_SLF,Right_SLF,Left_Uncinate,Right_Uncinate,Left_Arcuate,Right_Arcuate
0.809275177724085,0.764243969126649,0.949990702224395,0.714849215802069,0.755222606796029,0.70704334074243,0.801602889001041,0.759054192468587,0.770217042652292,0.852193640185655,0.734645840986012,0.720970885048379,0.772898873986637,0.701519309112647,0.775022942202844,0.780066851317939,0.75221826161185,0.792896451574936,0.735627030499444,0.744744044377909
0.777149412206096,0.730194193023591,0.899211586558227,0.702542169780757,0.743267475479451,0.693811842239971,0.797157010766043,0.749293436741613,0.751977731905936,0.796102423136183,0.730613665582487,0.704233392031292,0.776445289347019,0.70556221064899,0.761958648189476,0.767278320516805,0.722714578012744,0.770916626972946,0.734279716845496,0.664626901173927
0.764086506090317,0.703362691174087,0.87958045019196,0.699461691896852,0.732942721254906,0.689097201265304,0.798976635398516,0.737640839068388,0.751271490762917,0.771827484272926,0.73872741870711,0.711534143270161,0.779912798221413,0.710653145991164,0.748154948263667,0.754558037560088,0.716527487795082,0.758560090473714,0.728134273633982,0.659227596749173
0.760920112227435,0.680818461648149,0.864146652414207,0.691754622845945,0.728788310454984,0.678509607706667,0.807181473005901,0.72987154847316,0.754855991639649,0.758390476100295,0.749595255272236,0.721679472959633,0.764484717991643,0.712238832679577,0.737058697444544,0.743894605270473,0.718609534724012,0.747989372714907,0.723372627303499,0.669099453917761
0.757957866280285,0.664715578245918,0.845949172213712,0.67827558045883,0.72552543734689,0.665591368325621,0.814082321324103,0.727076656398462,0.763845563816887,0.746365470880482,0.756846788500969,0.735888810148386,0.763971744998802,0.706743405219046,0.728053369744204,0.739279488479414,0.720100301221846,0.740159725491048,0.725419826693609,0.67756386587626
0.753148417040796,0.660796161117927,0.835995434996011,0.667352475068647,0.719204009503649,0.657938115424664,0.819789503285997,0.727193741456356,0.777448681858391,0.733433271372574,0.760062743096498,0.750337210407263,0.787305060848677,0.700620645724936,0.72241875609666,0.740244343450908,0.719538474311309,0.732438895147795,0.7307732348129,0.676643863708919
0.749120608899729,0.674138564094359,0.830608726145863,0.666066897101692,0.710459658967945,0.656223543373158,0.83181081433004,0.730516144389974,0.791102158758616,0.721983053078203,0.754037607276032,0.76375584211385,0.788816463997172,0.693888186790137,0.72029499275035,0.742504004481745,0.723888760081525,0.73846812693694,0.741698729436523,0.673195205199098
0.746903174471606,0.692049460278425,0.82557802551372,0.67023767077479,0.700952893015076,0.663284441712094,0.850283229336931,0.734043277400023,0.79820686859545,0.715978830918013,0.744895871771454,0.769176675602381,0.771573435447485,0.689425808691087,0.722875517650838,0.744223512065788,0.732545978578312,0.747818021670678,0.771435795047737,0.676387844454476
0.744782828196289,0.707344815225269,0.806007979210542,0.682864821872277,0.693169809437172,0.667613224397527,0.855115902886928,0.733641992143951,0.799519366577513,0.715793167836066,0.742307554779383,0.763087175481206,0.750320285501872,0.689956676502426,0.728316881465274,0.746540584251784,0.743259508649617,0.760430248746743,0.783758871798711,0.680582479593975
0.742749872663096,0.721257707029819,0.779984433055595,0.711121112917085,0.688559662460789,0.670787504719652,0.850521420461315,0.730088937098452,0.797660928088598,0.716809117642938,0.742844297801481,0.758288397710671,0.733517673842615,0.695348058177725,0.734528933838893,0.749831335385865,0.751886089767394,0.77210922618695,0.784411657147206,0.681057324691442
